id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Testis,Wald ratio,1,-0.09117589,0.013515485,1.52E-11,-0.11766624,-0.06468554,0.912857134,0.888992713,0.93736218,1.22E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ATG10_Spleen,Wald ratio,1,-0.055911269,0.008083557,4.62E-12,-0.071755041,-0.040067498,0.945623038,0.930758865,0.96072459,5.10E-11,ATG10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Brain_Frontal_Cortex_BA9,Wald ratio,1,0.059004572,0.007164841,1.79E-16,0.044961484,0.07304766,1.06078009,1.045987572,1.075781807,3.31E-15,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,TESK2_Brain_Putamen_basal_ganglia,Wald ratio,1,-0.089206545,0.019345998,4.01E-06,-0.127124701,-0.05128839,0.914656636,0.880623851,0.950004659,1.82E-05,TESK2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Brain_Amygdala,Wald ratio,1,0.033495295,0.008221572,4.62E-05,0.017381013,0.049609577,1.034062578,1.017532942,1.050860736,0.000138106,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CFL1_Nerve_Tibial,Wald ratio,1,-0.481016483,0.091490167,1.46E-07,-0.660337211,-0.301695756,0.618154728,0.516677076,0.739563038,8.62E-07,CFL1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Brain_Putamen_basal_ganglia,Wald ratio,1,0.036707546,0.009092695,5.41E-05,0.018885864,0.054529229,1.037389588,1.01906533,1.056043343,0.000155442,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Artery_Aorta,Wald ratio,1,0.033315047,0.008079398,3.73E-05,0.017479427,0.049150666,1.033876207,1.017633087,1.050378595,0.000117935,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,SSBP4_Esophagus_Muscularis,Wald ratio,1,0.418477665,0.038095898,4.52E-28,0.343809705,0.493145624,1.519646383,1.410310235,1.637458958,9.60E-26,SSBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Artery_Coronary,Wald ratio,1,-0.061427018,0.014332971,1.82E-05,-0.089519641,-0.033334395,0.940421577,0.914370306,0.967215074,6.82E-05,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Adipose_Visceral_Omentum,Wald ratio,1,-0.084521776,0.01252911,1.52E-11,-0.109078832,-0.05996472,0.918951644,0.896659729,0.94179776,1.22E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PCM1_Muscle_Skeletal,Wald ratio,1,0.084005437,0.023074455,0.000271977,0.038779506,0.129231368,1.087634807,1.039541245,1.13795338,0.000720188,PCM1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,SETD9_Kidney_Cortex,Wald ratio,1,-0.059400059,0.007810388,2.84E-14,-0.074708421,-0.044091698,0.942329706,0.928014037,0.956866211,4.74E-13,SETD9
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,TOM1L1_Testis,Wald ratio,1,0.181513302,0.019880028,6.82E-20,0.142548447,0.220478158,1.199030487,1.153208949,1.246672694,1.66E-18,TOM1L1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CFL1_Testis,Wald ratio,1,-0.140029644,0.027023265,2.20E-07,-0.192995242,-0.087064045,0.869332465,0.824485897,0.916618389,1.25E-06,CFL1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,TOM1L1_Brain_Caudate_basal_ganglia,Wald ratio,1,0.209347534,0.022928539,6.82E-20,0.164407596,0.254287471,1.232873389,1.178694649,1.289542457,1.66E-18,TOM1L1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Ovary,Wald ratio,1,0.042483865,0.010276333,3.56E-05,0.022342252,0.062625478,1.043399221,1.022593709,1.064628038,0.000115586,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Esophagus_Mucosa,Wald ratio,1,0.036271193,0.008747758,3.38E-05,0.019125587,0.0534168,1.036937019,1.019309652,1.054869223,0.00011261,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ATG10_Cells_Cultured_fibroblasts,Wald ratio,1,-0.066035397,0.009547286,4.62E-12,-0.084748078,-0.047322716,0.936097729,0.918743707,0.953779548,5.10E-11,ATG10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ELL_Whole_Blood,Wald ratio,1,-0.354005375,0.033093987,1.05E-26,-0.41886959,-0.289141161,0.701871195,0.657789972,0.748906482,9.93E-25,ELL
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ELL_Spleen,Wald ratio,1,-0.252134467,0.023372015,3.93E-27,-0.297943617,-0.206325317,0.777140231,0.742343194,0.813568365,4.77E-25,ELL
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PARK7_Colon_Transverse,Wald ratio,1,-0.096667804,0.040436206,0.016819723,-0.175922767,-0.017412841,0.907857543,0.838682755,0.982737886,0.033718783,PARK7
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Colon_Sigmoid,Wald ratio,1,-0.049944205,0.019121496,0.009002997,-0.087422337,-0.012466074,0.9512825,0.916290031,0.987611306,0.019036189,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,GCAT_Adipose_Subcutaneous,Wald ratio,1,-0.082750818,0.02046202,5.25E-05,-0.122856378,-0.042645258,0.920580511,0.884390672,0.958251262,0.000152363,GCAT
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Lung,Wald ratio,1,0.174920767,0.01788079,1.34E-22,0.13987442,0.209967115,1.191151835,1.150129356,1.233637491,4.68E-21,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Adrenal_Gland,Wald ratio,1,0.04202389,0.010165071,3.56E-05,0.022100352,0.061947429,1.042919394,1.022346373,1.063906413,0.000115586,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,ELL_Lung,Wald ratio,1,-0.449664657,0.05419687,1.07E-16,-0.555890522,-0.343438791,0.637842012,0.573561265,0.709326897,2.11E-15,ELL
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Cells_Cultured_fibroblasts,Wald ratio,1,0.127261476,0.011675365,1.15E-27,0.104377761,0.150145192,1.135713941,1.110019698,1.162002943,1.96E-25,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,MAN2C1_Brain_Cerebellum,Wald ratio,1,-0.076068699,0.016049176,2.14E-06,-0.107525085,-0.044612313,0.926752537,0.898053994,0.956368181,9.89E-06,MAN2C1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PARK7_Skin_Not_Sun_Exposed_Suprapubic,Wald ratio,1,-0.11381452,0.048239267,0.018305747,-0.208363483,-0.019265557,0.892423467,0.811911867,0.980918838,0.036354871,PARK7
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Liver,Wald ratio,1,0.045623718,0.011198549,4.62E-05,0.023674562,0.067572874,1.04668049,1.023957029,1.069908225,0.000138106,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Esophagus_Mucosa,Wald ratio,1,0.081443888,0.022037758,0.000219323,0.038249883,0.124637894,1.084852343,1.038990826,1.132738208,0.000584403,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Liver,Wald ratio,1,-0.202368331,0.023828353,2.02E-17,-0.249071903,-0.155664759,0.816794022,0.779523921,0.855846057,4.18E-16,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CDK5RAP3_Esophagus_Muscularis,Wald ratio,1,0.085979217,0.02591718,0.000908398,0.035181544,0.13677689,1.089783679,1.035807736,1.146572308,0.002092516,CDK5RAP3
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PCM1_Brain_Frontal_Cortex_BA9,Wald ratio,1,0.050144472,0.011396471,1.08E-05,0.027807389,0.072481555,1.051422987,1.028197623,1.075172975,4.14E-05,PCM1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Esophagus_Gastroesophageal_Junction,Wald ratio,1,0.088899653,0.01706433,1.89E-07,0.055453567,0.12234574,1.092970975,1.057019935,1.13014477,1.09E-06,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,SSBP4_Cells_Cultured_fibroblasts,Wald ratio,1,0.335531644,0.032299742,2.81E-25,0.272224151,0.398839138,1.39868379,1.312881251,1.490093899,1.59E-23,SSBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Adipose_Visceral_Omentum,Wald ratio,1,-0.055851995,0.016300153,0.00061148,-0.087800294,-0.023903695,0.945679091,0.915943778,0.976379736,0.001451838,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Breast_Mammary_Tissue,Wald ratio,1,0.124336422,0.022344516,2.63E-08,0.08054117,0.168131674,1.13239677,1.083873469,1.183092383,1.69E-07,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PCM1_Colon_Sigmoid,Wald ratio,1,-0.116166728,0.027316434,2.11E-05,-0.169706938,-0.062626518,0.890326769,0.843912099,0.939294217,7.84E-05,PCM1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,MAN2C1_Heart_Atrial_Appendage,Wald ratio,1,-0.042011437,0.008520629,8.20E-07,-0.05871187,-0.025311003,0.958858814,0.94297843,0.975006635,4.25E-06,MAN2C1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Stomach,Wald ratio,1,-0.118734984,0.017600715,1.52E-11,-0.153232385,-0.084237582,0.888043116,0.857930328,0.919212842,1.22E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Brain_Anterior_cingulate_cortex_BA24,Wald ratio,1,-0.046051832,0.017075398,0.006997364,-0.079519612,-0.012584051,0.954992462,0.923559907,0.987494797,0.015057618,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Cells_Cultured_fibroblasts,Wald ratio,1,-0.057123992,0.013683694,2.99E-05,-0.083944032,-0.030303952,0.944476955,0.919482717,0.97015061,0.000104847,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,EFEMP2_Esophagus_Mucosa,Wald ratio,1,0.210689653,0.046266309,5.27E-06,0.120007687,0.301371618,1.234529163,1.127505519,1.351711569,2.26E-05,EFEMP2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Brain_Putamen_basal_ganglia,Wald ratio,1,-0.036520494,0.013982132,0.009002997,-0.063925473,-0.009115515,0.964138334,0.938074909,0.990925905,0.019036189,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,NSUN4_Artery_Aorta,Wald ratio,1,-0.1225275,0.026534618,3.88E-06,-0.174535352,-0.070519649,0.884681576,0.839847164,0.931909428,1.77E-05,NSUN4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,SSBP4_Heart_Left_Ventricle,Wald ratio,1,0.570975285,0.055362292,6.13E-25,0.462465192,0.679485379,1.769992458,1.587983849,1.972862194,3.06E-23,SSBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Skin_Not_Sun_Exposed_Suprapubic,Wald ratio,1,0.28157599,0.028826029,1.54E-22,0.225076974,0.338075006,1.325216696,1.252419116,1.402245677,4.68E-21,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,EFEMP2_Artery_Tibial,Wald ratio,1,0.249905242,0.039830655,3.51E-10,0.171837157,0.327973326,1.28390375,1.187484444,1.388151945,2.49E-09,EFEMP2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CDK5RAP3_Skin_Not_Sun_Exposed_Suprapubic,Wald ratio,1,0.094318761,0.028431014,0.000908398,0.038593974,0.150043549,1.09890998,1.039348395,1.161884841,0.002092516,CDK5RAP3
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Heart_Atrial_Appendage,Wald ratio,1,-0.070195493,0.01747951,5.92E-05,-0.104455333,-0.035935653,0.932211561,0.900815033,0.964702367,0.000167807,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Brain_Nucleus_accumbens_basal_ganglia,Wald ratio,1,0.042683526,0.010476866,4.62E-05,0.02214887,0.063218183,1.043607568,1.022395977,1.065259235,0.000138106,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,TOM1L1_Artery_Tibial,Wald ratio,1,0.502520023,0.051216959,1.00E-22,0.402134782,0.602905263,1.652881326,1.49501282,1.827420233,4.06E-21,TOM1L1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CDK5RAP3_Thyroid,Wald ratio,1,0.070532486,0.021570615,0.001076078,0.028254081,0.112810891,1.073079429,1.028657014,1.11942022,0.002394415,CDK5RAP3
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,TESK2_Spleen,Wald ratio,1,-0.052457978,0.015588927,0.000765216,-0.083012276,-0.02190368,0.948894195,0.920339849,0.978334463,0.001811794,TESK2
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,GATAD2A_Skin_Sun_Exposed_Lower_leg,Wald ratio,1,0.254659594,0.068529658,0.000202362,0.120341464,0.388977724,1.290022414,1.127881917,1.475471683,0.000542611,GATAD2A
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,STXBP4_Nerve_Tibial,Wald ratio,1,0.134133202,0.013793131,2.37E-22,0.107098665,0.161167738,1.143545132,1.113044067,1.174882025,6.29E-21,STXBP4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Muscle_Skeletal,Wald ratio,1,-0.118412434,0.017635894,1.89E-11,-0.152978787,-0.083846081,0.8883296,0.858147926,0.919572785,1.46E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,NSUN4_Breast_Mammary_Tissue,Wald ratio,1,-0.112949868,0.025018212,6.34E-06,-0.161985563,-0.063914173,0.893195437,0.850453482,0.938085509,2.64E-05,NSUN4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PCM1_Adipose_Visceral_Omentum,Wald ratio,1,-0.104679194,0.030005762,0.000485491,-0.163490489,-0.0458679,0.900613398,0.849174576,0.955168132,0.001250507,PCM1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Brain_Hypothalamus,Wald ratio,1,0.037056376,0.009095656,4.62E-05,0.01922889,0.054883862,1.037751524,1.019414956,1.056417917,0.000138106,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Cells_Cultured_fibroblasts,Wald ratio,1,-0.069124799,0.010246735,1.52E-11,-0.089208399,-0.049041198,0.933210209,0.91465494,0.952141902,1.22E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,NSUN4_Testis,Wald ratio,1,0.082972076,0.01837818,6.34E-06,0.046950844,0.118993308,1.086511468,1.048070489,1.126362381,2.64E-05,NSUN4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CDK5RAP3_Brain_Cerebellum,Wald ratio,1,0.042848466,0.013104143,0.001076078,0.017164347,0.068532586,1.043779715,1.017312501,1.070935521,0.002394415,CDK5RAP3
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,NSUN4_Pancreas,Wald ratio,1,-0.081422053,0.019982702,4.61E-05,-0.120588148,-0.042255958,0.921804559,0.88639895,0.958624382,0.000138106,NSUN4
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,METTL10_Adrenal_Gland,Wald ratio,1,-0.053038088,0.013701506,0.000108404,-0.07989304,-0.026183136,0.948343891,0.923215088,0.97415667,0.000300142,METTL10
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Pituitary,Wald ratio,1,0.039562041,0.009369957,2.42E-05,0.021196925,0.057927157,1.040355042,1.021423176,1.059637806,8.90E-05,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PARK7_Heart_Atrial_Appendage,Wald ratio,1,-0.202747766,0.04428438,4.69E-06,-0.289545151,-0.11595038,0.816484161,0.748603992,0.89051941,2.06E-05,PARK7
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Brain_Frontal_Cortex_BA9,Wald ratio,1,-0.048561722,0.014111953,0.000579191,-0.076221151,-0.020902293,0.952598541,0.926611263,0.979314645,0.001451838,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Brain_Putamen_basal_ganglia,Wald ratio,1,-0.050256351,0.014667089,0.00061148,-0.079003846,-0.021508855,0.950985608,0.924036371,0.978720811,0.001451838,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Heart_Left_Ventricle,Wald ratio,1,-0.11767035,0.017566901,2.11E-11,-0.152101475,-0.083239225,0.888989059,0.858901119,0.920131003,1.61E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,CASP8_Pancreas,Wald ratio,1,-0.065636863,0.0097297,1.52E-11,-0.084707074,-0.046566652,0.93647087,0.91878138,0.95450094,1.22E-10,CASP8
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,COX11_Colon_Sigmoid,Wald ratio,1,-0.052383211,0.015287804,0.00061148,-0.082347307,-0.022419115,0.948965143,0.92095205,0.977830326,0.001451838,COX11
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,MAN2C1_Uterus,Wald ratio,1,-0.042328829,0.008633642,9.45E-07,-0.059250768,-0.02540689,0.958554528,0.942470398,0.974913149,4.72E-06,MAN2C1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Skin_Sun_Exposed_Lower_leg,Wald ratio,1,0.037673297,0.009085913,3.38E-05,0.019864908,0.055481686,1.038391932,1.020063528,1.057049658,0.00011261,PILRB
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PARK7_Artery_Tibial,Wald ratio,1,-0.114317309,0.047819005,0.016819723,-0.208042559,-0.020592059,0.891974879,0.812172471,0.97961851,0.033718783,PARK7
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PCM1_Brain_Anterior_cingulate_cortex_BA24,Wald ratio,1,0.064664824,0.013981584,3.75E-06,0.03726092,0.092068728,1.066801399,1.037963811,1.096440176,1.72E-05,PCM1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,GRHL1_Muscle_Skeletal,Wald ratio,1,-0.141788491,0.029063924,1.07E-06,-0.198753782,-0.084823199,0.867804786,0.819751706,0.918674693,5.25E-06,GRHL1
ieu-a-1126,Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis) || id:ieu-a-1126,PILRB_Artery_Tibial,Wald ratio,1,0.034107039,0.008271468,3.73E-05,0.017894963,0.050319115,1.034695353,1.018056037,1.051606627,0.000117935,PILRB
